field_mV_nm,scale,nu,T_K,method
-96,TN,0.98,0.8,local minimum / insulating onset in smoothed log(Rxx)
-96,TN,0.985,2.7,local minimum / insulating onset in smoothed log(Rxx)
-96,TN,0.99,2.7,local minimum / insulating onset in smoothed log(Rxx)
-96,TN,0.995,2.4,local minimum / insulating onset in smoothed log(Rxx)
-96,TN,1.0,2.2,local minimum / insulating onset in smoothed log(Rxx)
-96,TN,1.005,2.0,local minimum / insulating onset in smoothed log(Rxx)
-96,TN,1.01,2.0,local minimum / insulating onset in smoothed log(Rxx)
-96,TN,1.015,1.1,local minimum / insulating onset in smoothed log(Rxx)
-96,Tc,0.914,0.1,Rxx <= 20 ohm threshold
-96,Tc,0.915,0.1,Rxx <= 20 ohm threshold
-96,Tc,0.916,0.1,Rxx <= 20 ohm threshold
-96,Tc,0.918,0.12,Rxx <= 20 ohm threshold
-96,Tc,0.919,0.14,Rxx <= 20 ohm threshold
-96,Tc,0.92,0.16,Rxx <= 20 ohm threshold
-96,Tc,0.921,0.16,Rxx <= 20 ohm threshold
-96,Tc,0.922,0.16,Rxx <= 20 ohm threshold
-96,Tc,0.923,0.18,Rxx <= 20 ohm threshold
-96,Tc,0.924,0.16,Rxx <= 20 ohm threshold
-96,Tc,0.925,0.2,Rxx <= 20 ohm threshold
-96,Tc,0.926,0.2,Rxx <= 20 ohm threshold
-96,Tc,0.927,0.2,Rxx <= 20 ohm threshold
-96,Tc,0.928,0.22,Rxx <= 20 ohm threshold
-96,Tc,0.929,0.22,Rxx <= 20 ohm threshold
-96,Tc,0.93,0.22,Rxx <= 20 ohm threshold
-96,Tc,0.931,0.22,Rxx <= 20 ohm threshold
-96,Tc,0.932,0.24,Rxx <= 20 ohm threshold
-96,Tc,0.933,0.24,Rxx <= 20 ohm threshold
-96,Tc,0.934,0.24,Rxx <= 20 ohm threshold
-96,Tc,0.935,0.24,Rxx <= 20 ohm threshold
-96,Tc,0.936,0.28,Rxx <= 20 ohm threshold
-96,Tc,0.937,0.28,Rxx <= 20 ohm threshold
-96,Tc,0.938,0.26,Rxx <= 20 ohm threshold
-96,Tc,0.939,0.28,Rxx <= 20 ohm threshold
-96,Tc,0.94,0.28,Rxx <= 20 ohm threshold
-96,Tc,0.941,0.26,Rxx <= 20 ohm threshold
-96,Tc,0.942,0.32,Rxx <= 20 ohm threshold
-96,Tc,0.943,0.32,Rxx <= 20 ohm threshold
-96,Tc,0.944,0.3,Rxx <= 20 ohm threshold
-96,Tc,0.945,0.3,Rxx <= 20 ohm threshold
-96,Tc,0.946,0.32,Rxx <= 20 ohm threshold
-96,Tc,0.947,0.32,Rxx <= 20 ohm threshold
-96,Tc,0.948,0.32,Rxx <= 20 ohm threshold
-96,Tc,0.949,0.32,Rxx <= 20 ohm threshold
-96,Tc,0.95,0.32,Rxx <= 20 ohm threshold
-96,Tc,0.951,0.34,Rxx <= 20 ohm threshold
