field_mV_nm,scale,nu,T_K,method
-176,Tcoh,0.83,1.35,"quadratic low-T fit, continuity enforced / regularized"
-176,Tcoh,0.838,1.16,"quadratic low-T fit, continuity enforced / regularized"
-176,Tcoh,0.846,0.94,"quadratic low-T fit, continuity enforced / regularized"
-176,Tcoh,0.854,0.65,"quadratic low-T fit, continuity enforced / regularized"
-176,Tcoh,0.862,0.35,"quadratic low-T fit, continuity enforced / regularized"
-176,Tcoh,0.87,0.11,"quadratic low-T fit, continuity enforced / regularized"
-176,Tcoh,0.878,0.0,"quadratic low-T fit, continuity enforced / regularized"
-176,Tcoh,1.015,0.0,"quadratic low-T fit, continuity enforced / regularized"
-176,Tcoh,1.0219999999999998,0.55,"quadratic low-T fit, continuity enforced / regularized"
-176,Tcoh,1.0299999999999998,1.25,"quadratic low-T fit, continuity enforced / regularized"
-176,Tcoh,1.0379999999999998,2.1,"quadratic low-T fit, continuity enforced / regularized"
-176,Tcoh,1.0459999999999998,3.0,"quadratic low-T fit, continuity enforced / regularized"
-176,Tcoh,1.0559999999999998,3.7,"quadratic low-T fit, continuity enforced / regularized"
-176,Tcoh,1.0699999999999998,4.0,"quadratic low-T fit, continuity enforced / regularized"
-176,Tcoh,1.13,4.0,"quadratic low-T fit, continuity enforced / regularized"
-176,Tprime,0.882,0.0,"high-T linear fit deviation, continuity enforced / regularized"
-176,Tprime,0.89,0.8,"high-T linear fit deviation, continuity enforced / regularized"
-176,Tprime,0.898,1.07,"high-T linear fit deviation, continuity enforced / regularized"
-176,Tprime,0.905,1.25,"high-T linear fit deviation, continuity enforced / regularized"
-176,Tprime,0.913,1.34,"high-T linear fit deviation, continuity enforced / regularized"
-176,Tprime,0.921,1.34,"high-T linear fit deviation, continuity enforced / regularized"
-176,Tprime,0.929,1.25,"high-T linear fit deviation, continuity enforced / regularized"
-176,Tprime,0.937,1.07,"high-T linear fit deviation, continuity enforced / regularized"
-176,Tprime,0.944,0.8,"high-T linear fit deviation, continuity enforced / regularized"
-176,Tprime,0.952,0.45,"high-T linear fit deviation, continuity enforced / regularized"
-176,Tprime,0.96,0.0,"high-T linear fit deviation, continuity enforced / regularized"
