field_mV_nm,scale,nu,T_K,method
-74,Tc,0.967,0.08,Rxx <= 20 ohm threshold
-74,Tc,0.968,0.08,Rxx <= 20 ohm threshold
-74,Tc,0.969,0.08,Rxx <= 20 ohm threshold
-74,Tc,0.97,0.08,Rxx <= 20 ohm threshold
-74,Tc,0.971,0.09,Rxx <= 20 ohm threshold
-74,Tc,0.972,0.09,Rxx <= 20 ohm threshold
-74,Tc,0.973,0.12,Rxx <= 20 ohm threshold
-74,Tc,0.974,0.12,Rxx <= 20 ohm threshold
-74,Tc,0.975,0.12,Rxx <= 20 ohm threshold
-74,Tc,0.976,0.12,Rxx <= 20 ohm threshold
-74,Tc,0.977,0.13,Rxx <= 20 ohm threshold
-74,Tc,0.978,0.13,Rxx <= 20 ohm threshold
-74,Tc,0.979,0.13,Rxx <= 20 ohm threshold
-74,Tc,0.98,0.14,Rxx <= 20 ohm threshold
-74,Tc,0.981,0.14,Rxx <= 20 ohm threshold
-74,Tc,0.982,0.14,Rxx <= 20 ohm threshold
-74,Tc,0.983,0.14,Rxx <= 20 ohm threshold
-74,Tc,0.984,0.14,Rxx <= 20 ohm threshold
-74,Tc,0.985,0.14,Rxx <= 20 ohm threshold
-74,Tc,0.986,0.15,Rxx <= 20 ohm threshold
-74,Tc,0.987,0.15,Rxx <= 20 ohm threshold
-74,Tc,0.988,0.15,Rxx <= 20 ohm threshold
-74,Tc,0.989,0.15,Rxx <= 20 ohm threshold
-74,Tc,0.99,0.15,Rxx <= 20 ohm threshold
-74,Tc,0.991,0.14,Rxx <= 20 ohm threshold
-74,Tc,0.992,0.14,Rxx <= 20 ohm threshold
-74,Tc,0.993,0.14,Rxx <= 20 ohm threshold
-74,Tc,0.994,0.14,Rxx <= 20 ohm threshold
-74,Tc,0.995,0.14,Rxx <= 20 ohm threshold
-74,Tc,0.996,0.14,Rxx <= 20 ohm threshold
-74,Tc,0.997,0.14,Rxx <= 20 ohm threshold
-74,Tc,0.998,0.14,Rxx <= 20 ohm threshold
-74,Tc,0.999,0.15,Rxx <= 20 ohm threshold
-74,Tc,1.0,0.14,Rxx <= 20 ohm threshold
-74,Tc,1.001,0.14,Rxx <= 20 ohm threshold
-74,Tc,1.002,0.14,Rxx <= 20 ohm threshold
-74,Tc,1.003,0.14,Rxx <= 20 ohm threshold
-74,Tc,1.004,0.13,Rxx <= 20 ohm threshold
-74,Tc,1.005,0.13,Rxx <= 20 ohm threshold
-74,Tc,1.006,0.12,Rxx <= 20 ohm threshold
-74,Tc,1.007,0.11,Rxx <= 20 ohm threshold
-74,Tc,1.008,0.11,Rxx <= 20 ohm threshold
-74,Tc,1.009,0.09,Rxx <= 20 ohm threshold
-74,Tcoh,0.83,1.35,"quadratic low-T fit, continuity enforced / regularized"
-74,Tcoh,0.838,1.16,"quadratic low-T fit, continuity enforced / regularized"
-74,Tcoh,0.846,0.94,"quadratic low-T fit, continuity enforced / regularized"
-74,Tcoh,0.854,0.65,"quadratic low-T fit, continuity enforced / regularized"
-74,Tcoh,0.862,0.35,"quadratic low-T fit, continuity enforced / regularized"
-74,Tcoh,0.87,0.11,"quadratic low-T fit, continuity enforced / regularized"
-74,Tcoh,0.878,0.0,"quadratic low-T fit, continuity enforced / regularized"
-74,Tcoh,1.015,0.0,"quadratic low-T fit, continuity enforced / regularized"
-74,Tcoh,1.0219999999999998,0.55,"quadratic low-T fit, continuity enforced / regularized"
-74,Tcoh,1.0299999999999998,1.25,"quadratic low-T fit, continuity enforced / regularized"
-74,Tcoh,1.0379999999999998,2.1,"quadratic low-T fit, continuity enforced / regularized"
-74,Tcoh,1.0459999999999998,3.0,"quadratic low-T fit, continuity enforced / regularized"
-74,Tcoh,1.0559999999999998,3.7,"quadratic low-T fit, continuity enforced / regularized"
-74,Tcoh,1.0699999999999998,4.0,"quadratic low-T fit, continuity enforced / regularized"
-74,Tcoh,1.13,4.0,"quadratic low-T fit, continuity enforced / regularized"
-74,Tprime,0.882,0.0,"high-T linear fit deviation, continuity enforced / regularized"
-74,Tprime,0.895,0.8,"high-T linear fit deviation, continuity enforced / regularized"
-74,Tprime,0.907,1.07,"high-T linear fit deviation, continuity enforced / regularized"
-74,Tprime,0.92,1.25,"high-T linear fit deviation, continuity enforced / regularized"
-74,Tprime,0.933,1.34,"high-T linear fit deviation, continuity enforced / regularized"
-74,Tprime,0.946,1.34,"high-T linear fit deviation, continuity enforced / regularized"
-74,Tprime,0.958,1.25,"high-T linear fit deviation, continuity enforced / regularized"
-74,Tprime,0.971,1.07,"high-T linear fit deviation, continuity enforced / regularized"
-74,Tprime,0.984,0.8,"high-T linear fit deviation, continuity enforced / regularized"
-74,Tprime,0.996,0.45,"high-T linear fit deviation, continuity enforced / regularized"
-74,Tprime,1.009,0.0,"high-T linear fit deviation, continuity enforced / regularized"
